Altium Designer Pick and Place Locations
G:\My Drive\Harpia\PROJECTS\P1\Electrical Documents\Drawings\PCL_P1\Project Outputs for PCL_P1\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       27/11/23
Time:       19:52
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"P1","WJ500V-5.08-2P","TopLayer","WJ500V-5.08-2P","7.4730","92.9622","270","1x2P 18A -40?~+105? 250V Green 14~30 Straight 5.08mm 2.5 1 2 Plugin,P=5.08mm Screw terminal ROHS"
"R1","MOV-14D471K","TopLayer","FP-MOV-14D471K-MFG","32.6750","84.5000","0","VARISTOR 470V 4.5KA DISC 14MM"
"TP1","Pad","TopLayer","PAD_SQ_2MM","81.0000","65.7750","0","Test Point Square 2mm"
"TP2","Pad","TopLayer","PAD_SQ_2MM","83.1750","97.6000","0","Test Point Square 2mm"
"TP3","Pad","TopLayer","PAD_SQ_2MM","81.0000","74.0000","0","Test Point Square 2mm"
"TP4","Pad","TopLayer","PAD_SQ_2MM","81.0000","68.5000","0","Test Point Square 2mm"
"TP5","Pad","TopLayer","PAD_SQ_2MM","66.4730","60.1722","0","Test Point Square 2mm"
"TP6","Pad","TopLayer","PAD_SQ_2MM","66.4730","57.4222","0","Test Point Square 2mm"
"U2","MIC5528-3.3YMT-TR","TopLayer","TDFN-6","76.9730","61.9222","0","LDO Regulator 3V3 500mA 2.5V<Vin<5.5V"
"XF1","3557-2","TopLayer","KSTN-3557-2","12.4730","82.4222","0","FUSE HOLDER, PCB MOUNT, 500VAC, 20A, ROHS"
"R9","100R","TopLayer","RES_0603","100.3000","45.3000","90","Resistor SMD 0603"
"R8","100R","TopLayer","RES_0603","97.8500","45.2750","90","Resistor SMD 0603"
"R7","100R","TopLayer","RES_0603","95.9250","45.2250","90","Resistor SMD 0603"
"R6","100R","TopLayer","RES_0603","93.8000","45.2250","90","Resistor SMD 0603"
"P5","WJ500V-5.08-2P","TopLayer","WJ500V-5.08-2P","120.7490","6.4222","0","1x2P 18A -40?~+105? 250V Green 14~30 Straight 5.08mm 2.5 1 2 Plugin,P=5.08mm Screw terminal ROHS"
"P4","WJ500V-5.08-2P","TopLayer","WJ500V-5.08-2P","107.0650","6.4222","0","1x2P 18A -40?~+105? 250V Green 14~30 Straight 5.08mm 2.5 1 2 Plugin,P=5.08mm Screw terminal ROHS"
"P3","WJ500V-5.08-2P","TopLayer","WJ500V-5.08-2P","134.4330","6.4222","0","1x2P 18A -40?~+105? 250V Green 14~30 Straight 5.08mm 2.5 1 2 Plugin,P=5.08mm Screw terminal ROHS"
"P2","WJ500V-5.08-2P","TopLayer","WJ500V-5.08-2P","93.3810","6.5000","0","1x2P 18A -40?~+105? 250V Green 14~30 Straight 5.08mm 2.5 1 2 Plugin,P=5.08mm Screw terminal ROHS"
"U5","ULN2004ADR","TopLayer","FP-D0016A-MFG","117.5436","43.5356","0","IC PWR RELAY 7NPN 1:1 16SOIC"
"U4","BMI088","TopLayer","BMI088","67.4730","39.8722","0","Inertial Measurement Unit IMU 6-Axis LGA"
"U8","SFH6916","TopLayer","VISH-SOP-16_V","100.3250","54.6100","90","Optocoupler, Phototransistor Output, Quad Channel, 50 mA, 1.15 V, -55 to 100 degC, 16-Pin SOP, Pb-Free, Tube"
"TP24","Pad","TopLayer","PAD_SQ_2MM","61.0000","42.5000","0","Test Point Square 2mm"
"TP21","Pad","TopLayer","PAD_SQ_2MM","81.0000","40.3000","0","Test Point Square 2mm"
"TP27","Pad","TopLayer","PAD_SQ_2MM","61.0000","37.0000","0","Test Point Square 2mm"
"TP25","Pad","TopLayer","PAD_SQ_2MM","66.0000","34.0000","0","Test Point Square 2mm"
"TP26","Pad","TopLayer","PAD_SQ_2MM","61.0000","34.0000","0","Test Point Square 2mm"
"TP28","Pad","TopLayer","PAD_SQ_2MM","72.6500","37.6250","0","Test Point Square 2mm"
"TP22","Pad","TopLayer","PAD_SQ_2MM","61.0597","39.8722","0","Test Point Square 2mm"
"TP23","Pad","TopLayer","PAD_SQ_2MM","81.0000","36.2500","0","Test Point Square 2mm"
"R3","100R","TopLayer","RES_0603","93.0000","64.5000","180","Resistor SMD 0603"
"R4","100R","TopLayer","RES_0603","99.5000","64.5000","180","Resistor SMD 0603"
"R2","100R","TopLayer","RES_0603","93.5000","60.5000","180","Resistor SMD 0603"
"R5","100R","TopLayer","RES_0603","103.5000","64.5000","180","Resistor SMD 0603"
"U3","STM32L072RBT6","TopLayer","LQFP64_-_64-pin","77.2230","53.1722","0","128KB 1.8V~3.6V ARM-MSeries 20KB 32MHz FLASH 51 LQFP-64(10x10) Microcontroller Units (MCUs/MPUs/SOCs) ROHS"
"TP11","Pad","TopLayer","PAD_SQ_2MM","92.9402","68.0000","0","Test Point Square 2mm"
"TP18","Pad","TopLayer","PAD_SQ_2MM","90.2750","55.0500","0","Test Point Square 2mm"
"TP20","Pad","TopLayer","PAD_SQ_2MM","111.0594","37.5384","0","Test Point Square 2mm"
"TP12","Pad","TopLayer","PAD_SQ_2MM","97.5000","68.0000","0","Test Point Square 2mm"
"TP9","Pad","TopLayer","PAD_SQ_2MM","106.5000","68.0000","90","Test Point Square 2mm"
"TP19","Pad","TopLayer","PAD_SQ_2MM","111.5500","42.5500","0","Test Point Square 2mm"
"TP10","Pad","TopLayer","PAD_SQ_2MM","103.5000","68.0000","0","Test Point Square 2mm"
"TP17","Pad","TopLayer","PAD_SQ_2MM","72.5000","43.6250","0","Test Point Square 2mm"
"TP13","Pad","TopLayer","PAD_SQ_2MM","70.1500","58.3750","180","Test Point Square 2mm"
"TP7","Pad","TopLayer","PAD_SQ_2MM","80.3000","32.0000","0","Test Point Square 2mm"
"TP15","Pad","TopLayer","PAD_SQ_2MM","63.9750","49.8000","0","Test Point Square 2mm"
"TP14","Pad","TopLayer","PAD_SQ_2MM","66.4730","54.6722","0","Test Point Square 2mm"
"TP8","Pad","TopLayer","PAD_SQ_2MM","87.9250","32.0000","0","Test Point Square 2mm"
"TP16","Pad","TopLayer","PAD_SQ_2MM","64.0250","52.3750","0","Test Point Square 2mm"
